name,create_date,total_pull_requests,total_releases,last_commit_date,main_language,total_issues_closed,total_stars,total_issues_open
'xyflow',2019,1179,255,'2024-08-19T14:40:48Z','TypeScript',1810,23498,584
'harbor',2016,7674,299,'2024-08-15T06:43:19Z','Go',10767,23398,195
'motion',2018,883,0,'2024-08-23T13:09:31Z','TypeScript',1397,23209,338
'LocalAI',2023,2057,59,'2024-08-25T12:36:09Z','C++',473,22797,231
'payload',2021,3235,400,'2024-08-19T19:12:24Z','TypeScript',1932,22796,403
'labelImg',2015,149,2,'2022-09-22T22:12:32Z','Python',364,22375,1687
'grapesjs',2016,471,98,'2024-08-25T12:57:20Z','TypeScript',3683,21858,15
'keycloak',2013,13911,61,'2024-08-22T18:44:03Z','Java',9477,21829,59
'headscale',2020,768,105,'2024-08-23T15:17:37Z','Go',710,21760,100
'jan',2023,1463,26,'2024-08-23T12:21:24Z','TypeScript',1486,21637,170
'fabric',2024,148,9,'2024-08-25T04:06:05Z','Go',299,21427,471
'Reactive-Resume',2020,597,87,'2024-07-22T10:04:36Z','TypeScript',844,21312,686
'focalboard',2020,2162,116,'2024-08-07T11:33:06Z','TypeScript',1708,21153,2
'zulip',2015,11832,104,'2024-08-25T02:44:39Z','Python',7495,21039,1659
'CodeEdit',2022,845,32,'2024-08-25T18:53:44Z','Swift',524,20743,214
'typescript-book',2015,331,0,'2024-06-29T11:46:59Z','TypeScript',144,20677,162
'ArchiveBox',2017,315,27,'2024-08-23T01:40:47Z','Python',722,20653,115
'posthog',2020,16110,0,'2024-08-25T14:03:43Z','Python',4380,20309,1437
'GPUImage',2012,241,3,'2016-05-26T15:29:42Z','Objective-C',1312,20222,526
'chatwoot',2019,3982,109,'2024-08-23T11:49:06Z','Ruby',3496,20122,910
'typesense',2017,405,30,'2024-08-12T23:00:20Z','C++',870,19975,756
'MagicMirror',2014,1385,44,'2024-06-30T21:44:21Z','JavaScript',1446,19603,50
'matomo',2011,6938,629,'2024-08-23T07:39:08Z','PHP',11490,19514,2344
'analytics',2018,1679,25,'2024-08-23T08:53:33Z','Elixir',670,19502,17
'wekan',2014,1209,466,'2024-08-23T12:29:46Z','JavaScript',3024,19319,1812
'slim',2015,216,49,'2024-08-20T19:31:48Z','Go',153,19145,630
'open-source-cs',2019,4,0,'2023-03-02T20:02:55Z','N/A',34,18649,172
'rasa',2016,4240,253,'2024-03-21T15:05:22Z','Python',6642,18531,26
'CodeIgniter',2011,1302,0,'2024-03-20T03:51:42Z','PHP',3249,18277,2
'taxonomy',2022,18,0,'2023-04-29T17:54:14Z','TypeScript',53,18227,58
'mlflow',2018,7006,99,'2024-08-22T20:51:52Z','Python',2546,18203,1267
'xbmc',2011,17786,168,'2024-08-24T14:27:35Z','C++',3560,18172,126
'devika',2024,60,0,'2024-06-18T16:06:30Z','Python',259,18159,989
'erpnext',2011,22357,1000,'2024-08-23T17:04:38Z','Python',13610,18120,680
'cocos2d-x',2010,12339,0,'2023-08-06T07:01:12Z','C++',3557,18084,122
'signoz',2021,2565,120,'2024-08-23T16:59:07Z','TypeScript',1565,18075,1407
'gun',2014,447,17,'2024-07-23T12:56:40Z','JavaScript',525,18017,393
'qmk_firmware',2014,16500,0,'2024-08-21T21:56:22Z','C',2851,17895,269
'Kap',2016,352,43,'2024-02-14T19:24:57Z','TypeScript',590,17888,313
'siyuan',2020,239,645,'2024-08-06T01:26:03Z','TypeScript',11581,17829,207
'CNTK',2015,258,32,'2022-09-23T14:06:50Z','C++',2543,17500,755
'kivy',2010,2918,12,'2024-08-06T15:31:53Z','Python',4343,17444,725
'dub',2022,548,0,'2024-08-25T17:52:25Z','TypeScript',361,17350,72
'timescaledb',2017,3785,99,'2024-08-24T13:36:11Z','C',2306,17326,509
'LxgwWenKai',2021,10,78,'2024-07-14T12:27:18Z','Batchfile',119,17301,4
'awesome-production-machine-learning',2018,411,17,'2024-08-25T03:13:58Z','N/A',70,16983,5
'thingsboard',2016,3947,61,'2024-08-23T15:01:13Z','Java',5702,16901,108
'LibreChat',2023,1279,44,'2024-08-24T19:09:38Z','TypeScript',1121,16853,732
'plotly.js',2015,2580,253,'2024-08-22T12:47:20Z','JavaScript',3648,16819,5
'ml-agents',2017,2712,61,'2024-05-03T10:25:36Z','C#',2889,16806,542
'changedetection.io',2021,609,102,'2024-08-22T13:02:00Z','Python',920,16571,199
'awesome-python-applications',2018,48,0,'2024-06-30T18:22:37Z','Jupyter Notebook',54,16551,22
'awesome-oss-alternatives',2021,119,0,'2024-03-22T12:08:11Z','Python',26,16285,6
'AirSim',2017,670,30,'2022-07-21T06:16:09Z','C++',2725,16219,652
'docs',2019,12491,1,'2024-08-23T18:35:15Z','JavaScript',3492,16011,38
'Luckysheet',2020,259,0,'2024-03-28T09:45:19Z','JavaScript',336,15821,386
'netbox',2016,2402,298,'2024-08-23T13:35:01Z','Python',9832,15638,668
'cutter',2017,1535,55,'2024-08-11T13:44:41Z','C++',1123,15557,306
'hydra',2015,1483,202,'2024-08-22T13:23:24Z','Go',1417,15400,492
'Mailspring',2016,241,62,'2024-08-19T20:49:35Z','C',2183,15353,87
'lime',2012,160,0,'2021-01-02T13:10:46Z','N/A',381,15300,1
'ragflow',2023,1004,12,'2024-08-25T10:58:20Z','Python',612,15296,22
'primitives',2020,822,0,'2024-08-21T22:46:17Z','TypeScript',995,15238,379
'SuperAGI',2023,686,14,'2024-06-03T16:24:24Z','Python',274,15180,129
'leon',2019,48,20,'2024-08-25T13:55:51Z','TypeScript',213,15159,277
'lila',2012,5352,2,'2024-08-25T17:10:44Z','Scala',8200,14984,82
'open-gpu-kernel-modules',2022,11,107,'2024-08-19T17:46:21Z','C',204,14968,461
'hiddify-next',2023,115,84,'2024-08-21T03:57:27Z','Dart',724,14951,1060
'CMWTAT_Digital_Edition',2018,6,11,'2024-03-28T13:57:52Z','C#',47,14896,129
'cayley',2014,385,15,'2024-07-06T18:10:42Z','Go',407,14822,25
'continue',2023,662,118,'2024-08-21T01:05:23Z','TypeScript',858,14799,259
'infisical',2022,1321,173,'2024-08-23T18:01:27Z','TypeScript',468,14730,83
'lively',2019,46,62,'2024-07-08T10:10:29Z','C#',1159,14663,284
'postal',2017,117,27,'2024-06-20T13:39:58Z','Ruby',1588,14593,354
'evals',2023,650,0,'2024-07-13T19:52:19Z','Python',118,14574,87
'Sourcetrail',2015,168,9,'2021-12-13T18:24:17Z','C++',681,14526,40
'OpenRA',2010,8400,99,'2024-08-20T15:34:09Z','C#',7707,14520,1441
'fauxpilot',2022,54,0,'2023-05-29T20:00:43Z','Python',74,14507,58
'foundationdb',2017,8481,279,'2024-08-23T03:28:30Z','C++',1012,14326,714
'chroma',2022,1146,60,'2024-08-23T22:58:06Z','Rust',692,14248,443
'questdb',2014,2482,84,'2024-08-22T15:34:44Z','Java',1227,14238,552
'f8app',2016,43,0,'2020-01-06T22:13:36Z','JavaScript',187,13991,28
'nni',2018,3002,40,'2023-10-26T05:31:53Z','Python',1684,13950,19
'cachet',2014,1388,56,'2024-06-14T07:03:15Z','PHP',2334,13931,7
'opensource.guide',2016,875,0,'2024-08-23T19:12:21Z','HTML',0,13889,397
'bagisto',2018,5104,48,'2024-08-20T06:01:26Z','PHP',4146,13832,0
'frontend-challenges',2017,112,0,'2024-05-14T17:38:08Z','N/A',24,13811,2
'editor.md',2015,19,6,'2019-05-09T11:48:29Z','JavaScript',375,13752,159
'emqx',2012,8009,359,'2024-08-24T11:44:48Z','Erlang',3800,13747,545
'DOOM',2012,0,0,'2024-01-16T16:16:34Z','C++',0,13551,0
'tink',2014,135,21,'2024-04-17T10:22:21Z','Java',469,13468,168
'opennhp',2014,419,0,'2024-08-25T11:41:30Z','N/A',722,13458,0
'diaspora',2010,1976,91,'2024-06-16T00:37:05Z','Ruby',4319,13374,1
'OpenRCT2',2014,8238,40,'2024-08-25T04:02:16Z','C++',10847,13265,69
'ente',2022,1653,100,'2024-08-25T09:25:21Z','Dart',444,13217,409
'Deep-Learning-with-TensorFlow-book',2019,5,0,'2021-08-30T10:54:30Z','Jupyter Notebook',147,13189,1493
